"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"French Polynesia","pyf","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,592,NA,NA,NA,NA,2095,143,0.051,NA,NA,NA,NA,NA
"Gabon","gab","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,882,1487,0.065,2278829,14482,33001380451,1.46,69.47
"Gambia","gmb","pays","africa",2021-11-14,2021,267644,236470,222526,NA,NA,48,10.76,9.51,8.95,NA,19,50,0.002,2486937,2221,5523012498,3.39,67.14
"Georgia","geo","pays","europe",2021-11-14,2021,NA,NA,NA,NA,NA,6651,NA,NA,NA,NA,1671,4531,0.114,3979773,14637,58251910145,5.7,73.47
"Germany","deu","pays","europe",2021-11-14,2021,115174517,58323724,56248506,3959066,48852,257981,137.28,69.52,67.04,4.72,3075,43161,0.051,83900471,52867,4435526988807,3.31,81.23
"Ghana","gha","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,14997,NA,NA,NA,NA,473,14585,0.046,31732128,5510,174846933220,3.46,66.68
"Gibraltar","gib","pays",NA,2021-11-14,2021,94019,40786,39815,13418,1001,349,279.06,121.06,118.18,39.83,10359,30,0.089,NA,NA,NA,NA,NA
"Greece","grc","pays","europe",2021-11-14,2021,13212743,6798355,6464917,629115,3269,44361,127.4,65.55,62.34,6.07,4278,12399,0.12,10370747,29159,302396763978,5.42,81.65
"Greenland","grl","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,229,5,0.009,NA,NA,NA,NA,NA
"Grenada","grd","pays","america_north",2021-11-14,2021,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,1655,75,0.066,113015,14354,1622272755,4.58,74.2
"Guatemala","gtm","pays","america_north",2021-11-14,2021,9174307,5568125,3606182,NA,21937,49764,50.27,30.51,19.76,NA,2727,19961,0.109,18249868,8540,155860725915,1.93,73.55
"Guernsey","ggy","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,489,NA,NA,NA,NA,NA,NA,NA
"Guinea","gin","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,5726,NA,NA,NA,NA,424,4268,0.032,13497237,2709,36558975554,2.68,62.29
"Guinea-Bissau","gnb","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,9651,NA,NA,NA,NA,4788,9527,0.473,2015490,1915,3859054011,1.74,61.31
"Guyana","guy","pays","america_south",2021-11-14,2021,NA,NA,NA,NA,NA,1987,NA,NA,NA,NA,2514,690,0.087,790329,14119,11158740248,4.14,69.71
"Haiti","hti","pays","america_north",2021-11-14,2021,NA,NA,NA,NA,NA,2872,NA,NA,NA,NA,249,1343,0.012,11541683,2758,31828523183,-0.2,66.29
"Honduras","hnd","pays","america_north",2021-11-14,2021,NA,NA,NA,NA,NA,42558,NA,NA,NA,NA,4229,12518,0.124,10062994,5318,53518742176,1.52,74.7
"Hong Kong, China","hkg","pays","asia",2021-11-14,2021,9192240,4673395,4475523,NA,11808,13499,121.71,61.88,59.26,NA,1787,3986,0.053,7552800,58606,442639477320,3.22,84.72
"Hungary","hun","pays","europe",2021-11-14,2021,NA,5999516,5774158,1594000,NA,37132,NA,62.27,59.93,16.55,3854,3572,0.037,9634162,32377,311929605621,5.93,77.47
"Iceland","isl","pays","europe",2021-11-14,2021,NA,NA,NA,NA,NA,1265,NA,NA,NA,NA,3684,71,0.021,343360,51911,17824175938,2.01,83.31
