"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Turkmenistan","tkm","pays","Asia",2021-08-29,2021,7580976,4374694,3206282,NA,NA,41369,123.91,71.51,52.41,NA,6762,23860,0.39,6117933,15988,97.812,2.83,70.6
"Turks and Caicos Islands","tca","pays",NA,2021-11-05,2021,56343,29210,27133,NA,NA,69,143.64,74.47,69.17,NA,1759,32,0.082,NA,NA,NA,NA,NA
"Tuvalu","tuv","pays","Asia",2021-10-22,2021,12114,6230,5884,NA,NA,30,101.58,52.24,49.34,NA,2516,0,0,11925,4376,0.052,3.11,NA
"Uganda","uga","pays","Africa",2021-12-09,2021,7813170,6525371,1287799,NA,NA,127573,16.58,13.85,2.73,NA,2707,111956,0.238,47123533,2136,100.651,1.93,67.29
"Ukraine","ukr","pays","Europe",2021-12-16,2021,27137660,14312994,12845346,NA,132977,121925,62.43,32.93,29.55,NA,2805,40149,0.092,43466822,12894,560.46,3.81,71.01
"United Arab Emirates","are","pays","Asia",2021-12-14,2021,22181292,9890441,9020082,3270769,14538,27743,222.01,98.99,90.28,32.74,2777,12,0,9991083,61292,612.377,-0.46,73.9
"United Kingdom","gbr","pays","Europe",2021-12-15,2021,123719623,51360987,46881291,25477345,812044,597204,181.39,75.3,68.73,37.35,8756,25361,0.037,68207114,43908,2994.811,4.59,81.35
"United States","usa","pays","America North",2021-12-16,2021,490030849,240321022,201600204,57008989,2,839941,147.6,72.38,60.72,17.17,2530,187682,0.057,332915074,63517,21145.722,2.92,78.7
"Uruguay","ury","pays","America South",2021-12-16,2021,6885526,2759580,2667667,1458279,7885,5563,197.57,79.18,76.54,41.84,1596,640,0.018,3485152,20797,72.482,2.76,77.61
"Uzbekistan","uzb","pays","Asia",2021-12-16,2021,36747947,18394150,NA,NA,213463,180893,108.29,54.2,NA,NA,5330,42600,0.126,33935765,7203,244.451,3.5,70.9
"Vanuatu","vut","pays","Asia",2021-12-13,2021,147609,100264,47345,NA,NA,874,46.94,31.88,15.06,NA,2779,589,0.187,314464,2802,0.881,1.89,65.27
"Venezuela","ven","pays","America South",2021-11-29,2021,26314390,16415684,9858581,NA,NA,131562,91.67,57.19,34.34,NA,4583,106568,0.371,28704947,5285,151.709,-2.64,75.18
"Vietnam","vnm","pays","Asia",2021-12-15,2021,135736968,75215180,NA,NA,534174,824525,138.27,76.62,NA,NA,8399,167895,0.171,98168829,8648,848.969,6.23,74.88
"Wallis and Futuna","wlf","pays",NA,2021-11-30,2021,11939,6016,5923,NA,NA,4,107.62,54.23,53.39,NA,361,2,0.018,NA,NA,NA,NA,NA
"World","world","continent",NA,2021-12-16,2021,8630645766,4460706006,3674992385,401798691,25618198,37220776,109.6,56.64,46.67,5.1,4726,10078785,0.128,NA,NA,NA,NA,NA
"Yemen","yem","pays","Asia",2021-12-02,2021,786027,556652,366587,NA,NA,2545,2.58,1.83,1.2,NA,83,1809,0.006,30490639,2372,72.321,0.1,68.25
"Zambia","zmb","pays","Africa",2021-12-16,2021,1342989,NA,904201,NA,31329,18338,7.1,NA,4.78,NA,969,NA,NA,18920657,3173,60.027,-1.91,64.61
"Zimbabwe","zwe","pays","Africa",2021-12-16,2021,7058474,4023289,3035185,NA,45074,26738,46.77,26.66,20.11,NA,1772,14047,0.093,15092171,2587,39.047,1.87,62.51
